koi_period,pl_orbper,koi_prad,pl_rade,pl_orbeccen,st_mass,koi_steff,st_teff,koi_srad,st_rad,koi_kepmag,label
3.728732147,8.20075,6.02,2.42,0.079,0.866,5497.0,5274.0,0.809,0.841458,15.523,1.0
40.4195037,8.20075,7.51,2.42,0.079,0.866,5446.0,5274.0,0.781,0.841458,15.487,0.0
2.243380573,8.20075,1.99,2.42,0.079,0.866,4149.0,5274.0,0.564,0.841458,15.135,1.0
10.405998015,8.20075,11.23,2.42,0.079,0.866,5746.0,5274.0,0.924,0.841458,15.562,2.0
2.337437946,8.20075,2.34,2.42,0.079,0.866,5005.0,5274.0,0.765,0.841458,15.334,1.0
7.2406612,8.20075,19.45,2.42,0.079,0.866,5005.0,5274.0,0.765,0.841458,15.334,0.0
3.43591631,8.20075,0.55,2.42,0.079,0.866,5779.0,5274.0,1.087,0.841458,12.791,0.0
11.59822233,8.20075,2.65,2.42,0.079,0.866,3688.0,5274.0,0.473,0.841458,15.937,1.0
6.575315881,8.20075,5.31,2.42,0.079,0.866,5992.0,5274.0,0.989,0.841458,15.312,1.0
7.275040844,8.20075,4.86,2.42,0.079,0.866,5485.0,5274.0,0.867,0.841458,15.08,1.0
19.27153892,8.20075,1.93,2.42,0.079,0.866,4077.0,5274.0,0.56,0.841458,15.385,1.0
10.06524317,8.20075,1.91,2.42,0.079,0.866,4077.0,5274.0,0.56,0.841458,15.385,1.0
12.3935651,8.20075,2.66,2.42,0.079,0.866,5557.0,5274.0,0.75,0.841458,15.505,1.0
43.84439721,8.20075,2.87,2.42,0.079,0.866,5854.0,5274.0,1.012,0.841458,12.882,1.0
3.341913228,8.20075,21.55,2.42,0.079,0.866,5295.0,5274.0,0.811,0.841458,15.629,2.0
1.626630225,8.20075,32.43,2.42,0.079,0.866,5735.0,5274.0,0.973,0.841458,15.279,2.0
2.711504086,8.20075,3.12,2.42,0.079,0.866,6214.0,5274.0,1.076,0.841458,15.541,1.0
7.21203748,8.20075,3.32,2.42,0.079,0.866,6214.0,5274.0,1.076,0.841458,15.541,1.0
14.1798187,8.20075,1.88,2.42,0.079,0.866,5799.0,5274.0,0.878,0.841458,15.727,2.0
8.47237911,8.20075,2.59,2.42,0.079,0.866,5354.0,5274.0,0.788,0.841458,15.339,1.0
60.4189369,8.20075,2.36,2.42,0.079,0.866,5354.0,5274.0,0.788,0.841458,15.339,1.0
12.611904345,8.20075,7.4,2.42,0.079,0.866,5795.0,5274.0,0.919,0.841458,15.14,1.0
1.433769925,8.20075,46.58,2.42,0.079,0.866,6017.0,5274.0,1.339,0.841458,15.122,2.0
10.31872301,8.20075,28.59,2.42,0.079,0.866,5927.0,5274.0,1.06,0.841458,15.065,2.0
