id,time_mean,time_std,time_median,time_min,time_max,time_range,time_skew,time_kurtosis,mag_mean,mag_std,mag_median,mag_range,mag_brightness_var,depth_mean,depth_std,depth_max,depth_variability,frequency,log_period,duration_ratio
1000.01,351319.1169448571,860550.8634248324,0.001657,-0.001657,2459229.630046,2459229.6317029996,2.0412414523144693,2.1666666666561154,3.201333333333333,4.527381460501079,0.013,9.616999999999999,1.4142174491361141,218.96203296666667,311.19159028214,656.8860989,1.4212125548245789,0.4605433195336133,0.33672951302507714,0.9290170108122676
1001.01,351427.5780741715,860816.1667192528,0.001916,-0.001916,2459987.948873,2459987.9507890004,2.0412414523115276,2.16666666664971,3.1411466666666663,4.442254918734654,0.006,9.42944,1.4142144223557387,428.6666666666666,1142.810527729286,1286.0,2.665965461265831,0.5176931469127214,0.2859275840575269,1.6390165031256758
1002.01,351318.28047991433,860549.1872473704,0.000625,-0.000625,2459224.687802,2459224.688427,2.04124145231627,2.1666666666600385,3.0998336666666666,4.384082593732341,0.058,9.357501,1.4142960768752026,500.0,707.1082387539454,1500.0,1.414216477507891,0.535458776260371,0.2712739588784213,0.7539259569746023
1003.01,351214.1865614286,860293.1346618374,0.00535,-0.00535,2458493.3957,2458493.4010500005,2.0412414523096065,2.166666666645529,3.1001,4.38430754927921,0.037,9.3373,1.4142471369566176,127.80333333333334,180.7423350861026,383.41,1.4142223866313026,0.36453377952267946,0.4382622215831254,1.1544784797483258
1004.01,351427.71289658576,860815.7435976363,0.003748,-0.003748,2459987.047262,2459987.05101,2.0412414523060183,2.166666666637716,3.045166666666667,4.306518786160761,0.006,9.1415,1.4142144774212997,251.66666666666674,1124.5980721523974,1306.55,4.468601611201578,0.27987574972066304,0.553034730039583,0.9431812765586345
1005.01,351427.48020707146,860815.0668375567,0.000581,-0.000581,2459985.156855,2459985.157436,2.04124145230353,2.166666666632297,3.0436333333333336,4.304350326768902,0.006,9.1369,1.4142144783435044,1243.6666666666667,1761.708964625416,3731.0,1.416544329637161,0.21975150719318104,0.6580681375809847,0.5832205000907025
1006.01,351319.5527324429,860550.8302537575,0.002159,-0.002159,2459229.984579,2459229.986738,2.0412414523047966,2.166666666635054,3.0795333333333335,4.35512056115812,0.006,9.2446,1.414214457111939,756.8467397999999,1072.4034720406435,2270.5402194,1.4169361056163507,0.3992347787149415,0.39877163285040274,1.748551037255871
1007.01,351322.69751651434,860556.8728744602,0.0013,-0.0013,2459247.930695,2459247.931995,2.0412414522824185,2.1666666665863303,2.9591966666666667,4.184938927155595,0.006,8.88359,1.4142145313611898,946.6666666666666,1338.7890607431436,2840.0,1.4142137965596588,0.142879174825901,0.8450310666413676,0.5648013780867867
1008.01,351466.15021392854,860910.7640163567,0.002805,-0.002805,2460258.236122,2460258.238927,2.041241452312716,2.166666666652297,2.978733333333333,4.212576473160128,0.012,8.9482,1.4142173876457986,161.00000000000003,230.24908772892024,483.0,1.4301185573224857,0.48819174023512774,0.31140957272844,1.3508265452305985
1009.01,351319.0282110571,860550.7367093292,0.000389,-0.000389,2459229.230924,2459229.231313,2.041241452314978,2.1666666666572247,2.811033333333333,3.975467201334818,0.028,8.4611,1.4142369477421652,569.2090897666667,806.001341993129,1707.6272693,1.4160022327182609,0.5101968711972795,0.29226220904634437,1.0237231341169313
101.01,351189.8651551857,860234.7285472853,0.000132,-0.000132,2458326.009117,2458326.009249,2.041241452316741,2.1666666666610617,4.135633333333334,5.848670800750847,0.006,12.4129,1.4142140584878204,6320.237431466667,8939.438886554946,18960.7122944,1.4144150411261482,0.6991198570383786,0.15544836246872765,1.1301967414163285
1010.01,351318.86034678575,860550.6612002145,0.000791,-0.000791,2459228.878101,2459228.8788920003,2.0412414523152766,2.166666666657873,2.8169533333333336,3.983776620790322,0.006,8.45686,1.4142146316908533,502.60022963333336,711.5329288029329,1507.8006889,1.4157035489657936,1.4687087201055355,-0.1669356733980642,3.618099749408918
1011.01,351427.04132372857,860815.0300110872,0.002619,-0.002619,2459984.627768,2459984.6303870003,2.041241452313297,2.1666666666535646,2.7462666666666666,3.8838106556433574,0.006,8.2448,1.414214687445996,83.33333333333333,118.77697333446226,250.0,1.4253236800135471,0.4047766723641682,0.3927845242202411,0.8868656891498925
1012.01,351322.14496814285,860558.9677759783,0.000369,-0.000369,2459252.509595,2459252.509964,2.0412414523173603,2.166666666662411,2.7090599999999996,3.8311925254677557,0.006,8.13318,1.4142147185620682,630.0,926.5163376706677,1890.0,1.4706608534455041,1.1309888688075531,-0.05345833062019821,1.8333329563370437
1013.01,351320.23394631426,860551.4763196394,0.000512,-0.000512,2459232.248322,2459232.248834,2.041241452294132,2.1666666666118335,2.5364999999999998,3.5871560462293806,0.006,7.6155,1.4142148812258548,4979.878074066667,7045.313584245437,14939.6342222,1.4147562409077405,0.18431294805095325,0.73444415436553,0.730569968623301
1014.01,351426.85929418576,860815.524522838,0.000309,-0.000309,2459985.657041,2459985.65735,2.041241452317695,2.166666666663139,2.5593333333333335,3.6194571723149624,0.012,7.6899999999999995,1.4142187440667995,947.1701085999999,1340.1704743602243,2841.5103258,1.4149205746590896,0.709462182260267,0.14907074957002556,0.6729248089276451
